threshold,miss_rate,fpr
0.854,0.211835,0.036270
0.855,0.212050,0.036111
0.856,0.212264,0.035992
0.857,0.212264,0.035952
0.858,0.212907,0.035952
0.859,0.213122,0.035912
0.860,0.213122,0.035872
0.861,0.213336,0.035872
0.862,0.213765,0.035872
0.863,0.213979,0.035713
0.864,0.214408,0.035554
0.865,0.214837,0.035474
0.866,0.215051,0.035394
0.867,0.215051,0.035355
0.868,0.215909,0.035355
0.869,0.216123,0.035275
0.870,0.216552,0.035155
0.871,0.216552,0.035116
0.872,0.217410,0.035036
0.873,0.217624,0.034917
0.874,0.217839,0.034837
0.875,0.218482,0.034558
0.876,0.218696,0.034479
0.877,0.218911,0.034479
0.878,0.219340,0.034399
0.879,0.219340,0.034319
0.880,0.219768,0.034240
0.881,0.220197,0.034120
0.882,0.220626,0.033961
0.883,0.221055,0.033921
0.884,0.221269,0.033881
0.885,0.221269,0.033722
0.886,0.221484,0.033682
0.887,0.221484,0.033563
0.888,0.222127,0.033483
0.889,0.222556,0.033443
0.890,0.222985,0.033324
0.891,0.223199,0.033284
0.892,0.223842,0.033165
0.893,0.224057,0.033045
0.894,0.224271,0.032926
0.895,0.225129,0.032886
0.896,0.225557,0.032767
0.897,0.226201,0.032568
0.898,0.226844,0.032408
0.899,0.227273,0.032329
0.900,0.227916,0.032289
0.901,0.228774,0.032169
0.902,0.228988,0.032050
0.903,0.230060,0.031851
0.904,0.231561,0.031612
0.905,0.233276,0.031612
0.906,0.233276,0.031493
0.907,0.233705,0.031373
0.908,0.234134,0.031254
0.909,0.234134,0.031214
0.910,0.234777,0.031094
0.911,0.235420,0.031055
0.912,0.236278,0.030975
0.913,0.236278,0.030856
0.914,0.236278,0.030816
0.915,0.236492,0.030776
0.916,0.236921,0.030736
0.917,0.237350,0.030577
0.918,0.237564,0.030497
0.919,0.238208,0.030338
0.920,0.239065,0.030179
0.921,0.239494,0.030020
0.922,0.239708,0.029820
0.923,0.240780,0.029621
0.924,0.241424,0.029502
0.925,0.242281,0.029462
0.926,0.243139,0.029223
0.927,0.244425,0.029104
0.928,0.246141,0.028905
0.929,0.247213,0.028785
0.930,0.248285,0.028706
0.931,0.248714,0.028626
0.932,0.250858,0.028546
0.933,0.251930,0.028387
0.934,0.252144,0.028228
0.935,0.252787,0.028029
0.936,0.253645,0.027870
0.937,0.255146,0.027870
0.938,0.256003,0.027710
0.939,0.257719,0.027591
0.940,0.259434,0.027352
0.941,0.260506,0.027272
0.942,0.261578,0.027113
0.943,0.262864,0.026994
0.944,0.264794,0.026954
0.945,0.267367,0.026635
0.946,0.268868,0.026476
0.947,0.271012,0.026277
0.948,0.271870,0.026158
0.949,0.272942,0.025959
0.950,0.274657,0.025759
0.951,0.276372,0.025680
0.952,0.278087,0.025640
0.953,0.279803,0.025560
0.954,0.281089,0.025361
0.955,0.282590,0.025083
0.956,0.284091,0.025003
0.957,0.287307,0.024844
0.958,0.289022,0.024764
0.959,0.291381,0.024565
0.960,0.293739,0.024406
0.961,0.295883,0.024326
0.962,0.299099,0.024286
0.963,0.301029,0.024087
0.964,0.302316,0.023968
0.965,0.305961,0.023809
0.966,0.311106,0.023610
0.967,0.312822,0.023410
0.968,0.320755,0.023172
0.969,0.323328,0.023012
0.970,0.325043,0.022734
0.971,0.328688,0.022654
0.972,0.331690,0.022614
0.973,0.335334,0.022495
0.974,0.340051,0.022216
0.975,0.344125,0.022017
0.976,0.349700,0.021858
0.977,0.353345,0.021539
0.978,0.358705,0.021380
0.979,0.363208,0.021221
0.980,0.367710,0.020902
0.981,0.372856,0.020663
0.982,0.379717,0.020265
0.983,0.383791,0.019907
0.984,0.390437,0.019349
0.985,0.396655,0.018673
0.986,0.403302,0.018155
0.987,0.411664,0.017478
0.988,0.456046,0.016762
0.989,0.465695,0.016125
0.990,0.475343,0.015408
0.991,0.484777,0.014413
0.992,0.498928,0.013377
